epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,7004.95,1.0357,0.60285,0.85295,0.5863,0.43679,0.46155,0.28334,1.12686,0.80281,0.87277,0.0034,0.0034,0.0034
102,7073.3,1.03709,0.60172,0.85418,0.58419,0.43311,0.45966,0.28221,1.12714,0.8039,0.87296,0.003334,0.003334,0.003334
103,7141.37,1.03412,0.59985,0.85417,0.58004,0.43751,0.45987,0.28292,1.12682,0.80448,0.87295,0.003268,0.003268,0.003268
104,7209.33,1.03125,0.59598,0.85356,0.57222,0.44121,0.46029,0.28368,1.12698,0.8042,0.87274,0.003202,0.003202,0.003202
105,7277.54,1.02219,0.59056,0.85049,0.57573,0.43721,0.45991,0.284,1.12628,0.80352,0.87255,0.003136,0.003136,0.003136
106,7345.63,1.02823,0.59239,0.85092,0.58152,0.43148,0.45772,0.28326,1.1255,0.80388,0.87234,0.00307,0.00307,0.00307
107,7413.29,1.02368,0.58966,0.85186,0.57594,0.43344,0.45824,0.28328,1.12562,0.80428,0.87258,0.003004,0.003004,0.003004
108,7481.39,1.01915,0.58603,0.84977,0.57764,0.43255,0.45933,0.28349,1.12505,0.80362,0.87295,0.002938,0.002938,0.002938
109,7549.37,1.01923,0.58479,0.85009,0.56855,0.43997,0.45981,0.28353,1.12413,0.80434,0.87272,0.002872,0.002872,0.002872
110,7617.36,1.01973,0.58403,0.85037,0.58286,0.43198,0.45967,0.28354,1.12427,0.80477,0.87265,0.002806,0.002806,0.002806
111,7686.64,1.00893,0.57717,0.84906,0.58173,0.43614,0.45962,0.28336,1.12466,0.80588,0.87286,0.00274,0.00274,0.00274
112,7756.79,1.01129,0.57866,0.84963,0.57383,0.44052,0.45985,0.28299,1.12434,0.80479,0.8728,0.002674,0.002674,0.002674
113,7825.3,1.0032,0.57303,0.84898,0.58479,0.43235,0.45863,0.28257,1.12481,0.80664,0.87272,0.002608,0.002608,0.002608
114,7894.7,1.00689,0.57585,0.84802,0.58339,0.4359,0.45946,0.28261,1.12567,0.80682,0.87298,0.002542,0.002542,0.002542
115,7963.34,1.00376,0.57169,0.84836,0.58111,0.4359,0.45962,0.28286,1.12622,0.80817,0.87315,0.002476,0.002476,0.002476
116,8031.65,1.00208,0.57055,0.84821,0.57378,0.43817,0.45811,0.28239,1.12642,0.80816,0.87319,0.00241,0.00241,0.00241
117,8101.84,1.00151,0.56676,0.8467,0.57207,0.4397,0.45853,0.28243,1.12708,0.80995,0.87349,0.002344,0.002344,0.002344
118,8171.51,1.00335,0.56875,0.84752,0.57348,0.43954,0.45909,0.28271,1.12698,0.80995,0.87371,0.002278,0.002278,0.002278
119,8241.94,1.00256,0.56632,0.84746,0.57479,0.44127,0.45991,0.2832,1.12757,0.81075,0.87366,0.002212,0.002212,0.002212
120,8311.21,0.99327,0.55911,0.84702,0.57616,0.43963,0.46001,0.28365,1.1277,0.8113,0.87373,0.002146,0.002146,0.002146
121,8381.37,1.00109,0.56355,0.84598,0.57081,0.44083,0.46012,0.2836,1.12735,0.81215,0.87351,0.00208,0.00208,0.00208
122,8452.25,0.99212,0.55682,0.84423,0.57006,0.44105,0.45982,0.28396,1.12752,0.81289,0.87365,0.002014,0.002014,0.002014
123,8523.1,0.98982,0.55605,0.84508,0.57183,0.43866,0.4586,0.28363,1.12766,0.8132,0.87361,0.001948,0.001948,0.001948
124,8593.6,0.98567,0.55392,0.84491,0.57139,0.43983,0.45954,0.28351,1.12818,0.81426,0.87395,0.001882,0.001882,0.001882
125,8664.24,0.98574,0.55214,0.84441,0.56622,0.4407,0.45932,0.28307,1.12903,0.81559,0.8743,0.001816,0.001816,0.001816
126,8734.66,0.98189,0.54885,0.84452,0.56708,0.44013,0.45909,0.28302,1.12924,0.81588,0.87422,0.00175,0.00175,0.00175
127,8805.23,0.97878,0.5464,0.84379,0.56604,0.44015,0.45854,0.28271,1.1288,0.81713,0.87417,0.001684,0.001684,0.001684
128,8875.94,0.9792,0.54531,0.84272,0.56303,0.44336,0.459,0.2831,1.12897,0.81729,0.87429,0.001618,0.001618,0.001618
129,8946.68,0.97566,0.54335,0.84312,0.57243,0.43829,0.45873,0.28285,1.12922,0.81729,0.87427,0.001552,0.001552,0.001552
130,9017.04,0.9727,0.54098,0.84211,0.57921,0.43454,0.45844,0.28281,1.12953,0.81831,0.87446,0.001486,0.001486,0.001486
131,9087.63,0.97217,0.54115,0.8434,0.57247,0.43622,0.45824,0.2827,1.12973,0.81885,0.87453,0.00142,0.00142,0.00142
132,9158.17,0.97461,0.54079,0.84183,0.57261,0.43497,0.45743,0.28215,1.13009,0.81971,0.87463,0.001354,0.001354,0.001354
133,9228.76,0.96905,0.53675,0.84129,0.56785,0.43724,0.45709,0.28161,1.13038,0.82011,0.87461,0.001288,0.001288,0.001288
134,9299.57,0.97127,0.5367,0.84121,0.56562,0.43851,0.45705,0.28148,1.13049,0.82127,0.87455,0.001222,0.001222,0.001222
135,9369.58,0.96447,0.5332,0.84146,0.56654,0.43721,0.45634,0.2812,1.13097,0.8222,0.87477,0.001156,0.001156,0.001156
136,9441.28,0.9628,0.52968,0.84102,0.56732,0.43597,0.45634,0.28128,1.1311,0.8222,0.87486,0.00109,0.00109,0.00109
137,9511.79,0.96446,0.52968,0.84017,0.57098,0.43398,0.45561,0.28103,1.13159,0.82346,0.87492,0.001024,0.001024,0.001024
138,9581.28,0.95993,0.52641,0.83976,0.57069,0.43355,0.45546,0.28085,1.13218,0.82442,0.87513,0.000958,0.000958,0.000958
139,9651.02,0.95344,0.52441,0.83991,0.56925,0.43435,0.45512,0.28064,1.13243,0.82538,0.87513,0.000892,0.000892,0.000892
